iteration,epsilon,payoff,attacker_best_response,defender_best_response
269,1.40048,4.56027,5.18846,3.15979
270,1.38955,4.55922,5.19194,3.16967
271,1.37871,4.55819,5.19540,3.17949
272,1.36794,4.55720,5.19885,3.18926
273,1.35726,4.55624,5.20229,3.19898
274,1.34667,4.55532,5.20571,3.20865
275,1.33615,4.55442,5.20913,3.21827
276,1.32571,4.55356,5.21252,3.22785
277,1.31536,4.55273,5.21591,3.23737
278,1.30508,4.55193,5.21928,3.24685
279,1.29488,4.55116,5.22264,3.25628
280,1.28475,4.55042,5.22599,3.26566
281,1.27470,4.54970,5.22932,3.27500
282,1.26473,4.54902,5.23265,3.28429
283,1.25484,4.54837,5.23596,3.29353
284,1.24501,4.54774,5.23925,3.30273
285,1.24269,4.54715,5.24254,3.30446
286,1.24284,4.54654,5.23836,3.30370
287,1.24298,4.54593,5.23420,3.30296
288,1.24310,4.54531,5.23006,3.30221
289,1.24321,4.54469,5.22593,3.30147
290,1.24331,4.54405,5.22181,3.30073
291,1.24340,4.54340,5.21771,3.30000
292,1.24348,4.54275,5.21363,3.29927
293,1.23628,4.54210,5.21507,3.30583
294,1.22912,4.54147,5.21651,3.31235
295,1.22202,4.54086,5.21795,3.31884
296,1.21496,4.54027,5.21938,3.32530
297,1.20796,4.53969,5.22080,3.33173
298,1.20100,4.53913,5.22222,3.33813
299,1.19409,4.53859,5.22364,3.34450
300,1.18723,4.53807,5.22505,3.35084
301,1.18042,4.53756,5.22645,3.35714
302,1.18076,4.53706,5.22242,3.35629
303,1.18110,4.53655,5.21841,3.35545
304,1.18849,4.53601,5.20901,3.34752
305,1.19582,4.53545,5.19964,3.33962
306,1.20308,4.53484,5.19031,3.33176
307,1.21027,4.53421,5.18100,3.32394
308,1.21738,4.53354,5.17174,3.31616
309,1.22443,4.53284,5.16250,3.30841
310,1.23141,4.53211,5.15330,3.30070
311,1.23833,4.53135,5.14413,3.29302
312,1.24517,4.53056,5.13499,3.28538
313,1.25195,4.52973,5.12589,3.27778
314,1.25867,4.52888,5.11681,3.27021
315,1.26532,4.52799,5.10777,3.26267
316,1.27190,4.52708,5.09877,3.25517
317,1.27843,4.52613,5.08979,3.24771
318,1.28489,4.52516,5.08084,3.24027
319,1.29128,4.52416,5.07193,3.23288
320,1.29762,4.52313,5.06305,3.22551
321,1.30389,4.52208,5.05420,3.21818
322,1.31011,4.52099,5.04538,3.21088
323,1.31626,4.51988,5.03659,3.20362
324,1.32236,4.51874,5.02783,3.19639
325,1.32839,4.51758,5.01910,3.18919
326,1.33437,4.51639,5.01040,3.18202
327,1.34029,4.51518,5.00173,3.17489
328,1.34615,4.51393,4.99309,3.16779
329,1.35196,4.51267,4.98448,3.16071
330,1.35770,4.51138,4.97590,3.15367
331,1.36340,4.51006,4.96735,3.14667
332,1.36904,4.50873,4.95883,3.13969
333,1.37462,4.50736,4.95205,3.13274
334,1.37575,4.50599,4.94701,3.13024
335,1.37685,4.50461,4.94198,3.12775
336,1.37794,4.50322,4.93697,3.12527
337,1.37901,4.50182,4.93197,3.12281
338,1.38006,4.50041,4.92699,3.12035
339,1.38110,4.49900,4.92203,3.11790
340,1.38211,4.49758,4.91709,3.11547
341,1.38311,4.49615,4.91216,3.11304
342,1.38409,4.49472,4.90725,3.11063
343,1.38505,4.49327,4.90236,3.10823
344,1.38599,4.49182,4.89748,3.10583
345,1.38692,4.49037,4.89262,3.10345
346,1.38783,4.48890,4.88777,3.10108
347,1.38872,4.48743,4.88294,3.09871
348,1.38960,4.48596,4.87813,3.09636
349,1.39046,4.48447,4.87333,3.09402
350,1.39130,4.48298,4.86855,3.09168
351,1.39213,4.48149,4.86379,3.08936
352,1.39294,4.47999,4.85904,3.08705
353,1.39373,4.47848,4.85430,3.08475
354,1.39029,4.47697,4.85289,3.08668
355,1.38686,4.47547,4.85149,3.08861
356,1.38345,4.47398,4.85008,3.09053
357,1.38006,4.47250,4.84868,3.09244
358,1.37668,4.47102,4.84729,3.09434
359,1.37332,4.46955,4.84590,3.09623
360,1.36997,4.46809,4.84452,3.09812
361,1.36664,4.46664,4.84314,3.10000
362,1.36332,4.46519,4.84176,3.10187
363,1.36002,4.46376,4.84039,3.10373
364,1.35674,4.46233,4.83902,3.10559
365,1.35347,4.46090,4.83766,3.10744
366,1.35021,4.45949,4.83630,3.10928
367,1.34697,4.45808,4.83495,3.11111
368,1.34375,4.45668,4.83360,3.11294
369,1.34053,4.45529,4.83226,3.11475
370,1.33734,4.45390,4.83092,3.11656
371,1.33416,4.45252,4.82958,3.11837
372,1.33099,4.45115,4.82825,3.12016
373,1.32784,4.44979,4.82692,3.12195
374,1.32470,4.44843,4.82560,3.12373
375,1.32157,4.44708,4.82428,3.12551
376,1.31846,4.44573,4.82775,3.12727
377,1.30933,4.44442,4.83121,3.13508
378,1.30027,4.44312,4.83466,3.14286
379,1.29125,4.44186,4.84127,3.15060
380,1.27630,4.44063,4.84945,3.16433
381,1.26145,4.43945,4.85759,3.17800
382,1.24669,4.43831,4.86572,3.19162
383,1.23204,4.43722,4.87382,3.20518
384,1.21748,4.43616,4.88189,3.21869
385,1.20301,4.43515,4.88994,3.23214
386,1.18469,4.43419,4.90110,3.24950
387,1.16648,4.43328,4.91223,3.26680
388,1.14840,4.43243,4.92332,3.28402
389,1.13044,4.43163,4.93438,3.30118
390,1.11260,4.43087,4.94540,3.31827
391,1.09488,4.43018,4.95639,3.33529
392,1.07728,4.42953,4.96734,3.35225
393,1.05979,4.42893,4.97826,3.36914
394,1.04242,4.42838,4.98915,3.38596
395,1.02516,4.42788,5.00000,3.40272
396,1.01578,4.42743,5.01082,3.41165
397,1.00840,4.42701,5.01389,3.41860
398,1.00106,4.42660,5.01695,3.42553
399,0.99377,4.42620,5.02000,3.43243
400,0.98652,4.42583,5.02304,3.43931
401,0.97932,4.42547,5.02607,3.44615
402,0.97216,4.42514,5.02910,3.45298
403,0.96505,4.42482,5.03211,3.45977
404,0.95797,4.42451,5.03511,3.46654
405,0.95094,4.42423,5.03811,3.47328
406,0.94396,4.42396,5.04110,3.48000
407,0.93701,4.42370,5.04407,3.48669
408,0.93011,4.42347,5.04704,3.49336
409,0.92325,4.42325,5.05000,3.50000
410,0.91643,4.42304,5.05295,3.50662
411,0.90965,4.42286,5.05589,3.51321
412,0.91233,4.42268,5.05882,3.51036
413,0.91498,4.42250,5.05422,3.50752
414,0.91761,4.42230,5.04962,3.50469
415,0.92022,4.42209,5.04505,3.50187
416,0.92281,4.42187,5.04048,3.49907
417,0.92537,4.42164,5.03593,3.49627
418,0.92791,4.42139,5.03139,3.49348
419,0.93043,4.42114,5.02687,3.49071
420,0.93293,4.42087,5.02235,3.48794
421,0.93540,4.42059,5.01786,3.48519
422,0.93786,4.42030,5.01337,3.48244
423,0.94029,4.41999,5.00890,3.47970
424,0.94270,4.41968,5.00444,3.47698
425,0.94509,4.41935,5.00000,3.47426
426,0.94746,4.41902,4.99557,3.47156
427,0.94981,4.41867,4.99115,3.46886
428,0.95213,4.41831,4.98822,3.46618
429,0.95080,4.41795,4.98676,3.46715
430,0.94947,4.41759,4.98532,3.46812
431,0.94814,4.41723,4.98387,3.46909
432,0.94682,4.41687,4.98243,3.47005
433,0.94550,4.41651,4.98099,3.47101
434,0.94418,4.41615,4.97956,3.47197
435,0.94287,4.41579,4.97813,3.47292
436,0.94156,4.41543,4.97671,3.47387
437,0.94026,4.41508,4.97529,3.47482
438,0.93895,4.41472,4.97388,3.47576
439,0.93766,4.41436,4.97246,3.47670
440,0.93636,4.41400,4.97106,3.47764
441,0.93507,4.41364,4.96965,3.47857
442,0.93378,4.41328,4.96825,3.47950
443,0.93250,4.41292,4.96686,3.48043
444,0.93122,4.41257,4.96547,3.48135
445,0.92994,4.41221,4.96408,3.48227
446,0.92867,4.41185,4.96270,3.48319
447,0.92739,4.41149,4.96132,3.48410
448,0.92613,4.41114,4.95994,3.48501
449,0.92486,4.41078,4.95857,3.48592
450,0.92360,4.41042,4.95720,3.48682
451,0.92235,4.41007,4.95584,3.48772
452,0.92109,4.40971,4.95448,3.48862
453,0.91984,4.40935,4.95312,3.48951
454,0.91860,4.40900,4.95177,3.49040
455,0.91735,4.40864,4.95042,3.49129
456,0.91611,4.40829,4.94908,3.49217
457,0.91488,4.40793,4.94774,3.49306
458,0.91364,4.40758,4.94640,3.49393
459,0.91241,4.40722,4.94507,3.49481
460,0.91119,4.40687,4.94374,3.49568
461,0.90996,4.40651,4.94242,3.49655
462,0.90874,4.40616,4.94109,3.49742
463,0.90752,4.40581,4.94118,3.49828
464,0.90289,4.40546,4.94266,3.50257
465,0.89827,4.40512,4.94413,3.50685
466,0.89369,4.40480,4.94561,3.51111
